Title,Link,MPN,SKU,Base,Wattage,Wattage equivalent,Lumens,Lumens per Watt,Warranty,Features
SYLVANIA SMART+ BR30 Bulb - 11W - 65W Equiv – Color Changing – 2 pack,https://www.lightup.com/sylvania-smart-br30-bulb-11w-65w-equiv.html,MPN: LED11BR30/RGBW/ZB/2PKS/S+,SKU: LEDHASB1000050774, E26 ,11 W,65 Watt,800 Lumens,72 lm/W,,"Dimmable, Instant On, Mercury Free, Warranty"
Zigbee Starter Kit - Includes 1 A19 Bulb + Lightify Gateway - By Sylvania,https://www.lightup.com/zigbee-starter-kit-includes-1-a19-bulb-lightify-gateway-by-sylvania.html,MPN: LED10W/1A19/DIM/10Y/1GW/LFYSKIT,SKU: LEDLHLS10000507836, E26 ,60 W,40 Watt,,,2 Year,"Dimmable, Instant On, Mercury Free"
LED PAR38 - 13 Watt - 90W Equiv. - Dimmable - 980 Lumens - LumeGen,https://www.lightup.com/led-par38-13w-90w-equiv-dimmable-980-lumens-lumegen.html,MPN: LP38e-13W-w,SKU: LEDPR381000047882, E26 ,13 W,90 Watt,980 Lumens,75 lm/W,3 Year,"Dimmable, Instant On, Long Life Span, Mercury Free, Suitable for Wet Locations, Warranty"
LED PAR30 Long Neck - 12 Watt - 75W Equiv. - Dimmable - 840 Lumens - LumeGen,https://www.lightup.com/led-par30-long-neck-12w-75w-equiv-dimmable-840-lumens-lumegen.html,MPN: LP30e-12W-w,SKU: LEDPR301000047881, E26 ,12 W,75 Watt,840 Lumens,70 lm/W,3 Year,"Dimmable, Instant On, Long Life Span, Mercury Free, Suitable for Wet Locations, Warranty"
LED BR40 - 12 Watt - 85W Equiv. - Dimmable - 1100 Lumens - LumeGen,https://www.lightup.com/led-br40-12w-85w-equiv-dimmable-1100-lumens-lumegen-2.html,MPN: LBR40e-12W,SKU: LEDBR401000047880, E26 ,12 W,85 Watt,1100 Lumens,91 lm/W,3 Year,"Dimmable, Instant On, Long Life Span, Mercury Free, Suitable for Wet Locations, Warranty"
LIGHTIFY® 4 Button/8 Function Wireless Smart Switch by Sylvania,https://www.lightup.com/lightify-4-button-8-function-wireless-smart-switch-by-sylvania.html,MPN: 74099,SKU: LEDLHLS1000037765,,,,,,,
LED - PAR38 - 11 Watt - 75 Watt Equivalent - 850 Lumens - LumeGen,https://www.lightup.com/par38-led-bulb-11watt-75w-equiv-1100-lumens-lumegen.html,MPN: L5-PAR38WPU-11W,SKU: LEDPR381000037453, E26 ,11 W,75 Watt,850 Lumens,77 lm/W,3 Year,"Instant On, Mercury Free, Suitable for Damp Locations, Warranty"
LED A19 - 12 Watt - 75W Equiv. - Dimmable - 1100 Lumens - LumeGen,https://www.lightup.com/led-a19-12w-75w-equiv-dimmable-1100-lumens-lumegen.html,MPN: LA19e-12W,SKU: LEDA19S1000047877, E26 ,12 W,75 Watt,1100 Lumens,91 lm/W,3 Year,"Dimmable, Instant On, Mercury Free, Suitable for Damp Locations, Warranty"
180° Retrofit Bulb - 80 Watt - E39 Base - 9600 Lumens,https://www.lightup.com/led-area-light-80w-e39-base-200w-equiv-9600-lumens.html,MPN: RMS-180D-K7-80W(4000K) | RMS-180D-K7-80W(5000K),SKU: LEDAREA1000037583, E39 ,80 W,80 Watt,9600 Lumens,120 lm/W,5 Year,"Great Heat Dissipation, Instant On, Long Life Span, Mercury Free, Suitable for Damp Locations, Warranty"
LED A19 - 14.5 Watt - 100W Equiv. - Dimmable - 1600 Lumens - LumeGen,https://www.lightup.com/led-a19-100w-equiv-dimmable-1600-lumens-lumegen.html,MPN: LA19e-15W,SKU: LEDA19S1000047878, E26 ,14.5 W,100 Watt,1600 Lumens,110 lm/W,3 Year,"Dimmable, Instant On, Mercury Free, Suitable for Damp Locations, Warranty"
LED A19 - 14.5 Watt - 100W Equiv. - Dimmable - 1600 Lumens - LumeGen,https://www.lightup.com/led-a19-100w-equiv-dimmable-1600-lumens-lumegen.html,MPN: LA19e-15W,SKU: LEDA19S1000047878, E26 ,14.5 W,100 Watt,1600 Lumens,110 lm/W,3 Year,"Dimmable, Instant On, Mercury Free, Suitable for Damp Locations, Warranty"
LED PAR38 - 13 Watt - 90W Equiv. - Dimmable - 980 Lumens - LumeGen,https://www.lightup.com/led-par38-13w-90-equiv-dimmable-980-lumens-ul-listed-lumegen.html,MPN: LP38-13W-w,SKU: LEDPR381000047874, E26 ,12 W,90 Watt,980 Lumens,75 lm/W,3 Year,"Dimmable, Instant On, Long Life Span, Mercury Free, Suitable for Wet Locations, Warranty"
LIGHTIFY® Wireless Dimming Switch by Sylvania,https://www.lightup.com/lightify-wireless-dimming-switch-by-sylvania.html,MPN: 73743,SKU: LEDLHLS1000037762,,,,,,,
LED BR40 - 12 Watt - 85W Equiv. - Dimmable - 1100 Lumens - LumeGen,https://www.lightup.com/led-br40-12w-85w-equiv-dimmable-1100-lumens-ul-listed-lumegen.html,MPN: LBR40-12W,SKU: LEDBR401000047872, E26 ,12 W,85 Watt,1100 Lumens,91 lm/W,3 Year,"Dimmable, Instant On, Long Life Span, Mercury Free, Suitable for Wet Locations, Warranty"
LED PAR30 Long Neck - 12 Watt - 75W Equiv. - Dimmable - 840 Lumens - LumeGen,https://www.lightup.com/led-par30-long-neck-12w-75w-equiv-dimmable-840-lumens-ul-listed-lumegen.html,MPN: LP30-12W-w,SKU: LEDPR301000047873, E26 ,12 W,75 Watt,840 Lumens,70 lm/W,3 Year,"Dimmable, Instant On, Long Life Span, Mercury Free, Suitable for Wet Locations, Warranty"
LED A19 - 12 Watt - 75W Equiv. - Dimmable - 1100 Lumens - LumeGen,https://www.lightup.com/led-a19-12w-75w-equiv-dimmable-1100-lumens-ul-listed-lumegen.html,MPN: LA19-12W,SKU: LEDA19S1000047869, E26 ,12 W,75 Watt,1100 Lumens,91 lm/W,3 Year,"Dimmable, Mercury Free, Suitable for Damp Locations, Warranty"
LED A19 - 11W - 75W Equiv - Dimmable - 1100 Lumens - LumeGen,https://www.lightup.com/a19-led-bulb-11w-dimmable-75w-equiv-1100lumens-lumegen.html,MPN: L6-A19D-11W,SKU: LEDA19S1000037090, E26 ,11 W,75 Watt,1100 Lumens,100 lm/W,3 Year,"Dimmable, Instant On, Mercury Free, Warranty"
LED BR30 - 9 Watt - 65W Equiv. - Dimmable - 650 Lumens - LumeGen,https://www.lightup.com/led-br30-9w-65w-equiv-dimmable-650-lumens-lumegen.html,MPN: LBR30e-9W,SKU: LEDBR301000047879, E26 ,9 W,65 Watt,650 Lumens,72 lm/W,3 Year,"Dimmable, Instant On, Long Life Span, Mercury Free, Suitable for Damp Locations, Warranty"
LED A19 - 5.5 Watt - 40W Equiv. - Dimmable - 450 Lumens - LumeGen,https://www.lightup.com/led-a19-40w-equiv-dimmable-450-lumens-lumegen.html,MPN: LA19e-5.5W,SKU: LEDA19S1000047875, E26 ,5.5 W,40 Watt,450 Lumens,81 lm/W,3 Year,"Dimmable, Mercury Free, Suitable for Damp Locations, Warranty"
LED B11 Candelabra - 5 Watt - 30W Equivalent - Dimmable - 325 Lumens - LumeGen,https://www.lightup.com/c11-led-bulb-5w-clear-dim-30w-equiv-500-lumens-lumegen.html,MPN: L2-CandleD-5W(Clear),SKU: LEDCNDL1000037457, E12 ,5 W,30 Watt,325 Lumens,65 lm/W,3 Year,"Dimmable, Instant On, Mercury Free, Warranty"
