Name,Stock Num,Price,Image
"California TT4 Passive Black Matte, Black Block Neck Inlays, Matching Head Stock",#35075,"$1,839.00",https://www.thebassplace.com/wp-content/uploads/434-1-500x200.jpg
"Fender Custom Shop 2019 POSTMODERN BASS JourneyMan, Aged Charcoal Frost Metallic",XN11824,"$3,720.00",https://www.thebassplace.com/wp-content/uploads/Fender-aged-grey-P-bass-_0009__DEW1839-500x500.jpg
"G&L JB, Galaxy Black Finish, Block neck inlays",CLF1912095,"$1,599.00",https://www.thebassplace.com/wp-content/uploads/IMG_20200327_120502506-500x1700.jpg
"G&L JB Graphite Metallic, Matching Head Stock, Block neck Inlays, Empress Body",CLF1912109,"$1,899.00",https://www.thebassplace.com/wp-content/uploads/image-3-500x1682.jpg
"G&L JB Shell Pink, Empress Body",CLF1912102,"$1,499.00",https://www.thebassplace.com/wp-content/uploads/IMG_20200327_115639596-500x1702.jpg
"G&L KILOTON Emerald Green Metallic, Maple Neck",CLF2001121,"$1,499.00",https://www.thebassplace.com/wp-content/uploads/image-2-1-500x668.jpg
"G&L SB-2 , Yellow Fever, Matching Head Stock, Ebony Fret Board",CLF1910214,"$1,599.00",https://www.thebassplace.com/wp-content/uploads/GL-yellow-PJ-4-string-_0008__DEW0955-500x500.jpg
"G&L SB-2 Satin Royal Purple Metallic, Matching Head Stock, Tort Pick Guard",CLF1910217,"$1,599.00",https://www.thebassplace.com/wp-content/uploads/GL-purple-PJ-4-string-_0008__DEW0940-500x500.jpg
Music Man OLD SMOOTHIE Butterscotch Black Pick Guard,E98890,"$2,349.00",https://www.thebassplace.com/wp-content/uploads/EBMM-stingray-honey-4-string-_0006__DEW1731-500x500.jpg
Music Man Sterling 4 Vintage Blue Pearl- Roasted Maple / Rosewood,F83254,"$2,249.00",https://www.thebassplace.com/wp-content/uploads/Musicman-blue-sterling-_0003__DEW1881-500x500.jpg
Sandberg  Forty Eight Blackburst Matte Finish,#35082,"$1,679.00",https://www.thebassplace.com/wp-content/uploads/470-1-500x200.jpg
"Sandberg California VS4 Natural High gloss, Tort Pick Guard",#35214,"$1,529.00",https://www.thebassplace.com/wp-content/uploads/IMG_20200427_161049851-500x1774.jpg
"Sandberg VS4 Roquefort Blue, Relic Finish, Super cool custom order bass!",#35287,"$1,939.00",https://www.thebassplace.com/wp-content/uploads/Screen-Shot-2020-04-22-at-12.57.54-PM-500x167.png
"Spector Euro4LX Doug Wimbish, Only a few of these come in each year. Real nice basses",NB16044,"$2,695.00",https://www.thebassplace.com/wp-content/uploads/Spector-Doug-Wimbish-4-_0005__DEW1747-500x500.jpg
"Spector Euro4LX RS Rudy Sarzo Signature Model, SimS Pickups, 24 Fret Access, Black Stain Gloss Finish",NB15622,"$2,999.00",https://www.thebassplace.com/wp-content/uploads/Spector-black-NS-4-string-Simms-_0009__DEW1015-500x500.jpg
Spector Forte 4  Ultra cool Satin Tobacco burst finish,#183,"$3,695.00",https://www.thebassplace.com/wp-content/uploads/Spector-NS-burst-Aguilar-PJ-_0008__DEW1036-500x500.jpg
"Spector Limited Edition Euro4 1977, American Walnut body, just like the original 40 years ago",NB14211,"$2,599.00",https://www.thebassplace.com/wp-content/uploads/Spector-1979-_0003__DSC7840-500x500.jpg
,Spector Timbre Jr. Short Scale (30″) Acoustic bass with Fishman system –,$629.00,https://www.thebassplace.com/wp-content/uploads/Spector-acoustic-_0002__DEW1978-500x500.jpg
"Spector USA NS4H2M-NS4-H2, Bolt-on neck; Spalted Maple/Mahogany; Natural Matte",#1226,"$3,695.00",https://www.thebassplace.com/wp-content/uploads/Spector-NS-bolt-on-4-string-_0008__DEW1000-500x500.jpg
,E553228-18,$899.00,https://www.thebassplace.com/wp-content/uploads/Warwick-red-streamer-4-std-_0003__DEW1972-500x500.jpg
